panel,representation,model,protocol,seed,sample_id,sample_type,representation_split,umap_x,umap_y,silhouette_original,knn5_purity_original,status,budget_pct,accuracy,macro_f1,auprc,n_conflict_supervision,n_aligned_supervision,n_train,n_val,n_test
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0027,Aligned,official_test,7.619342803955078,1.0509045124053955,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0042,Aligned,official_test,-3.754733085632324,9.413480758666992,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0043,Aligned,official_test,-4.102128028869629,9.704692840576172,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0054,Aligned,official_test,-3.603574275970459,9.914044380187988,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0057,Aligned,official_test,-3.8383493423461914,10.035820007324219,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0064,Aligned,official_test,-3.4420597553253174,9.417255401611328,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0067,Aligned,official_test,-3.632547616958618,9.784016609191895,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0068,Aligned,official_test,-3.577270030975342,9.723564147949219,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0075,Aligned,official_test,-3.2566964626312256,8.283737182617188,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0084,Aligned,official_test,8.313172340393066,0.8871525526046753,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0086,Aligned,official_test,8.04530143737793,1.9283937215805054,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0093,Aligned,official_test,7.38123083114624,1.6452959775924683,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0094,Aligned,official_test,7.012645721435547,4.138880729675293,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0095,Aligned,official_test,7.324960231781006,1.9876047372817993,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0096,Aligned,official_test,7.53544807434082,1.0769456624984741,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0100,Aligned,official_test,7.541835308074951,0.9525923728942871,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0114,Aligned,official_test,7.3612542152404785,1.8718377351760864,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0116,Aligned,official_test,10.312821388244629,2.888918876647949,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
